time	rep	total	spore	total_dil	spor_dil
5064	B	55	33	5	5
5064	C	52	27	5	5
5064	D	40	38	5	5
5112	A	47	41	5	5
5112	B	50	36	5	5
5112	C	58	38	5	5
5112	D	37	35	5	5
5160	A	32	33	5	5
5160	B	37	33	5	5
5160	C	42	35	5	5
5160	D	47	35	5	5
5208	A	52	29	5	5
5208	B	52	42	5	5
5208	C	42	39	5	5
5208	D	47	37	5	5
5256	A	58	54	5	5
5256	B	75	64	5	5
5256	C	87	50	5	5
5256	D	66	64	5	5
5304	A	43	47	5	5
5304	B	38	45	5	5
5304	C	46	35	5	5
5304	D	46	36	5	5
5352	A	39	39	5	5
5352	B	53	36	5	5
5352	C	36	35	5	5
5352	D	44	37	5	5
5400	A	38	40	5	5
5400	B	43	42	5	5
5400	C	60	49	5	5
5400	D	55	49	5	5
5448	A	49	40	5	5
5448	B	45	36	5	5
5448	C	38	36	5	5
5448	D	62	33	5	5
5496	A	43	43	5	5
5496	B	63	62	5	5
5496	C	40	44	5	5
5496	D	60	52	5	5
5544	A	60	34	5	5
5544	B	45	36	5	5
5544	C	46	37	5	5
5544	D	68	42	5	5
5592	A	48	36	5	5
5592	B	44	39	5	5
5592	C	53	51	5	5
5592	D	65	28	5	5
5640	A	56	46	5	5
5640	B	52	42	5	5
5640	C	56	50	5	5
5640	D	55	45	5	5
5688	A	30	53	5	5
5688	B	58	64	5	5
5688	C	66	58	5	5
5688	D	60	50	5	5
5736	A	48	42	5	5
5736	B	51	23	5	5
5736	C	61	42	5	5
5736	D	57	47	5	5
5784	A	43	32	5	5
5784	B	43	40	5	5
5784	C	48	20	5	5
5784	D	59	38	5	5
5832	A	44	33	5	5
5832	B	52	55	5	5
5832	C	56	39	5	5
5832	D	47	39	5	5
5880	A	30	36	5	5
5880	B	36	40	5	5
5880	C	32	38	5	5
5880	D	52	27	5	5
5928	A	45	37	5	5
5928	B	39	38	5	5
5928	C	56	44	5	5
5928	D	36	43	5	5
5976	A	42	35	5	5
5976	B	37	33	5	5
5976	C	38	38	5	5
5976	D	39	31	5	5
6024	A	41	34	5	5
6024	B	57	28	5	5
6024	C	47	40	5	5
6024	D	54	24	5	5
6072	A	46	38	5	5
6072	B	48	35	5	5
6072	C	72	30	5	5
6072	D	51	35	5	5
6120	A	36	35	5	5
6120	B	54	40	5	5
6120	C	52	29	5	5
6120	D	62	41	5	5
6168	A	23	30	5	5
6168	B	49	25	5	5
6168	C	22	38	5	5
6168	D	70	31	5	5
6216	A	42	47	5	5
6216	B	55	51	5	5
6216	C	46	42	5	5
6216	D	54	41	5	5
6264	A	46	42	5	5
6264	B	44	51	5	5
6264	C	61	40	5	5
6264	D	45	55	5	5
6312	A	49	37	5	5
6312	B	44	44	5	5
6312	C	61	33	5	5
6312	D	37	43	5	5
6360	A	37	30	5	5
6360	B	42	41	5	5
6360	C	48	36	5	5
6360	D	49	40	5	5
6408	A	46	26	5	5
6408	B	47	37	5	5
6408	C	56	28	5	5
6408	D	36	33	5	5
6456	A	46	40	5	5
6456	B	44	25	5	5
6456	C	42	28	5	5
6456	D	31	41	5	5
6504	A	36	23	5	5
6504	B	40	27	5	5
6504	C	48	25	5	5
6504	D	50	30	5	5
6552	A	33	36	5	5
6552	B	31	40	5	5
6552	C	64	36	5	5
6552	D	57	55	5	5
6600	A	47	36	5	5
6600	B	46	40	5	5
6600	C	74	48	5	5
6600	D	76	42	5	5
6648	A	332	311	4	4
6648	B	382	255	4	4
6648	C	375	301	4	4
6648	D	367	224	4	4
6696	A	34	23	5	5
6696	B	46	51	5	5
6696	C	38	41	5	5
6696	D	52	38	5	5
6744	A	45	27	5	5
6744	B	62	36	5	5
6744	C	52	26	5	5
6744	D	65	28	5	5
6792	A	48	28	5	5
6792	B	49	31	5	5
6792	C	47	28	5	5
6792	D	46	22	5	5
6840	A	51	30	5	5
6840	B	43	28	5	5
6840	C	48	27	5	5
6840	D	49	25	5	5
6888	A	43	31	5	5
6888	B	60	30	5	5
6888	C	61	38	5	5
6888	D	66	41	5	5
6936	A	55	41	5	5
6936	B	50	55	5	5
6936	C	55	32	5	5
6936	D	61	40	5	5
6984	A	50	46	5	5
