time	rep	total	spore	total_dil	spor_dil
4628	A	173	104	3	3
4628	B	152	134	3	3
4628	C	78	72	3	3
4628	D	102	79	3	3
4676	A	190	121	3	3
4676	B	156	150	3	3
4676	C	77	87	3	3
4676	D	113	83	3	3
4724	A	163	101	3	3
4724	B	189	116	3	3
4724	C	87	77	3	3
4724	D	113	73	3	3
4772	A	92	81	3	3
4772	B	133	119	3	3
4772	C	73	59	3	3
4772	D	79	76	3	3
4820	A	163	117	3	3
4820	B	155	134	3	3
4820	C	87	104	3	3
4820	D	133	93	3	3
4868	A	195	170	3	3
4868	B	209	177	3	3
4868	C	112	93	3	3
4868	D	138	117	3	3
4916	A	136	131	3	3
4916	B	161	160	3	3
4916	C	98	83	3	3
4916	D	126	118	3	3
4964	A	121	111	3	3
4964	B	194	151	3	3
4964	C	75	118	3	3
4964	D	102	81	3	3
5012	A	174	105	3	3
5012	B	157	144	3	3
5012	C	76	76	3	3
5012	D	98	85	3	3
5060	A	155	126	3	3
5060	B	204	140	3	3
5060	C	101	88	3	3
5060	D	80	94	3	3
5108	A	155	109	3	3
5108	B	136	102	3	3
5108	C	89	85	3	3
5108	D	101	81	3	3
5180	A	152	86	3	3
5180	B	157	115	3	3
5180	C	68	58	3	3
5180	D	92	74	3	3
5228	A	166	98	3	3
5228	B	124	108	3	3
5228	C	67	58	3	3
5228	D	79	73	3	3
5276	A	158	103	3	3
5276	B	171	134	3	3
5276	C	94	83	3	3
5276	D	116	93	3	3
5324	A	145	97	3	3
5324	B	135	119	3	3
5324	C	71	67	3	3
5324	D	113	83	3	3
5372	A	123	93	3	3
5372	B	159	160	3	3
5372	C	97	71	3	3
5372	D	112	92	3	3
5420	A	171	108	3	3
5420	B	158	125	3	3
5420	C	82	58	3	3
5420	D	127	80	3	3
5468	A	133	107	3	3
5468	B	155	134	3	3
5468	C	110	75	3	3
5468	D	129	88	3	3
5516	A	119	93	3	3
5516	B	163	104	3	3
5516	C	95	57	3	3
5516	D	105	90	3	3
5564	A	122	113	3	3
5564	B	157	149	3	3
5564	C	90	76	3	3
5564	D	91	83	3	3
5612	A	143	106	3	3
5612	B	142	124	3	3
5612	C	110	87	3	3
5612	D	106	93	3	3
5660	A	116	113	3	3
5660	B	155	130	3	3
5660	C	112	75	3	3
5660	D	123	101	3	3
5708	A	132	126	3	3
5708	B	193	142	3	3
5708	C	91	62	3	3
5708	D	113	87	3	3
5756	A	120	91	3	3
5756	B	150	114	3	3
5756	C	87	64	3	3
5756	D	106	93	3	3
5804	A	115	80	3	3
5804	B	182	111	3	3
5804	C	78	78	3	3
5804	D	104	79	3	3
5852	A	129	120	3	3
5852	B	164	140	3	3
5852	C	95	87	3	3
5852	D	115	86	3	3
5900	A	138	95	3	3
5900	B	202	116	3	3
5900	C	100	68	3	3
5900	D	96	88	3	3
5948	A	157	146	3	3
5948	B	195	154	3	3
5948	C	116	86	3	3
5948	D	134	94	3	3
5996	A	167	103	3	3
5996	B	171	132	3	3
5996	C	78	73	3	3
5996	D	106	73	3	3
6044	A	152	99	3	3
6044	B	164	146	3	3
6044	C	87	75	3	3
6044	D	109	73	3	3
6092	A	128	121	3	3
6092	B	191	159	3	3
6092	C	92	87	3	3
6092	D	95	94	3	3
6140	A	137	103	3	3
6140	B	179	107	3	3
6140	C	95	59	3	3
6140	D	109	78	3	3
6188	A	181	121	3	3
6188	B	182	138	3	3
6188	C	83	74	3	3
6188	D	114	103	3	3
6236	A	176	126	3	3
6236	B	165	127	3	3
6236	C	87	93	3	3
6236	D	115	87	3	3
6284	A	155	144	3	3
6284	B	153	117	3	3
6284	C	105	89	3	3
6284	D	114	102	3	3
6332	A	143	126	3	3
6332	B	196	129	3	3
6332	C	84	69	3	3
6332	D	81	76	3	3
6380	A	134	101	3	3
6380	B	185	118	3	3
6380	C	86	70	3	3
6380	D	104	75	3	3
6428	A	153	115	3	3
6428	B	167	132	3	3
6428	C	101	90	3	3
6428	D	95	83	3	3
6476	A	142	103	3	3
6476	B	191	166	3	3
6476	C	112	74	3	3
6476	D	105	91	3	3
6524	A	106	80	3	3
6524	B	149	126	3	3
6524	C	62	62	3	3
6524	D	100	77	3	3
6572	A	137	125	3	3
6572	B	182	137	3	3
6572	C	103	97	3	3
6572	D	91	85	3	3
6620	A	165	137	3	3
6620	B	182	130	3	3
6620	C	88	64	3	3
6620	D	131	106	3	3
6668	A	132	102	3	3
6668	B	218	180	3	3
6668	C	83	63	3	3
6668	D	126	87	3	3
6716	A	137	121	3	3
6716	B	169	172	3	3
6716	C	99	72	3	3
6716	D	106	102	3	3
6764	A	170	94	3	3
6764	B	168	159	3	3
6764	C	94	73	3	3
6764	D	108	88	3	3
6812	A	135	105	3	3
6812	B	162	128	3	3
6812	C	110	68	3	3
6812	D	98	90	3	3
6860	A	162	119	3	3
6860	B	185	184	3	3
6860	C	84	99	3	3
6860	D	116	95	3	3
6908	A	152	144	3	3
6908	B	212	146	3	3
6908	C	107	87	3	3
6908	D	103	81	3	3
6956	A	159	101	3	3
6956	B	200	137	3	3
6956	C	82	84	3	3
6956	D	96	71	3	3
7004	A	153	127	3	3
7004	B	217	155	3	3
7004	C	107	77	3	3
7004	D	129	95	3	3
7052	A	150	100	3	3
7052	B	196	182	3	3
7052	C	81	59	3	3
7052	D	87	77	3	3
7100	A	150	100	3	3
7100	B	196	182	3	3
7100	C	81	59	3	3
7100	D	87	77	3	3
7148	A	168	129	3	3
7148	B	203	139	3	3
7148	C	81	100	3	3
7148	D	106	68	3	3
7196	A	157	112	3	3
7196	B	175	141	3	3
7196	C	77	69	3	3
7196	D	117	71	3	3
7244	A	131	141	3	3
7244	B	170	152	3	3
7244	C	112	83	3	3
7244	D	101	88	3	3
7292	A	167	135	3	3
7292	B	196	175	3	3
7292	C	118	88	3	3
7292	D	115	76	3	3
7340	A	161	135	3	3
7340	B	183	139	3	3
7340	C	91	65	3	3
7340	D	89	64	3	3
7388	A	114	98	3	3
7388	B	213	141	3	3
7388	C	90	70	3	3
7388	D	88	73	3	3
7436	A	143	109	3	3
7436	B	203	100	3	3
7436	C	99	56	3	3
7436	D	122	89	3	3
7484	A	125	63	3	3
7484	B	161	125	3	3
7484	C	80	40	3	3
7484	D	111	83	3	3
7532	A	120	98	3	3
7532	B	202	123	3	3
7532	C	120	77	3	3
7532	D	109	87	3	3
7580	A	139	104	3	3
7580	B	169	115	3	3
7580	C	77	70	3	3
7580	D	91	80	3	3
7628	A	154	130	3	3
7628	B	214	108	3	3
7628	C	86	60	3	3
7628	D	86	54	3	3
7676	A	145	81	3	3
7676	B	156	107	3	3
7676	C	91	41	3	3
7676	D	121	74	3	3
7724	A	126	103	3	3
7724	B	169	104	3	3
7724	C	92	70	3	3
7724	D	105	55	3	3
7772	A	137	103	3	3
7772	B	203	163	3	3
7772	C	101	69	3	3
7772	D	111	78	3	3
7820	A	136	120	3	3
7820	B	214	149	3	3
7820	C	73	56	3	3
7820	D	106	87	3	3
7868	A	169	108	3	3
7868	B	195	107	3	3
7868	C	100	71	3	3
7868	D	101	71	3	3
7916	A	140	103	3	3
7916	B	207	186	3	3
7916	C	89	83	3	3
7916	D	107	107	3	3
7964	A	156	102	3	3
7964	B	204	141	3	3
7964	C	105	87	3	3
7964	D	102	82	3	3
8012	A	124	130	3	3
8012	B	162	149	3	3
8012	C	89	89	3	3
8012	D	102	82	3	3
8060	A	137	134	3	3
8060	B	224	147	3	3
8060	C	98	96	3	3
8060	D	113	81	3	3
8108	A	106	91	3	3
8108	B	171	116	3	3
8108	C	79	66	3	3
8108	D	108	80	3	3
8156	A	147	125	3	3
8156	B	159	144	3	3
8156	C	107	65	3	3
8156	D	107	85	3	3
8204	A	120	106	3	3
8204	B	160	134	3	3
8204	C	99	76	3	3
8204	D	87	72	3	3
8252	A	125	109	3	3
8252	B	184	175	3	3
8252	C	111	72	3	3
8252	D	104	92	3	3
8300	A	127	120	3	3
8300	B	156	130	3	3
8300	C	81	71	3	3
8300	D	101	86	3	3
8348	A	119	108	3	3
8348	B	167	98	3	3
8348	C	90	64	3	3
8348	D	128	93	3	3
8396	A	144	112	3	3
8396	B	163	119	3	3
8396	C	102	59	3	3
8396	D	80	73	3	3
8444	A	143	140	3	3
8444	B	173	168	3	3
8444	C	117	114	3	3
8444	D	121	111	3	3
8492	A	82	63	3	3
8492	B	158	95	3	3
8492	C	60	24	3	3
8492	D	79	59	3	3
8540	A	139	131	3	3
8540	B	219	174	3	3
8540	C	90	56	3	3
8540	D	114	87	3	3
8588	A	134	117	3	3
8588	B	175	129	3	3
8588	C	69	59	3	3
8588	D	100	103	3	3
8636	A	130	95	3	3
8636	B	170	118	3	3
8636	C	78	58	3	3
8636	D	103	68	3	3
8684	A	146	84	3	3
8684	B	171	124	3	3
8684	C	71	81	3	3
8684	D	126	74	3	3
8732	A	130	105	3	3
8732	B	146	147	3	3
8732	C	107	75	3	3
8732	D	115	108	3	3
8780	A	135	115	3	3
8780	B	184	161	3	3
8780	C	111	61	3	3
8780	D	83	100	3	3
8828	A	122	137	3	3
8828	B	186	110	3	3
8828	C	100	66	3	3
8828	D	119	73	3	3
8876	A	117	81	3	3
8876	B	143	171	3	3
8876	C	59	77	3	3
8876	D	80	82	3	3
8924	A	154	106	3	3
8924	B	160	184	3	3
8924	C	117	65	3	3
8924	D	110	92	3	3
8972	A	138	128	3	3
8972	B	185	157	3	3
8972	C	100	65	3	3
8972	D	125	77	3	3
9020	A	157	128	3	3
9020	B	198	133	3	3
9020	C	86	75	3	3
9020	D	108	107	3	3
9068	A	148	97	3	3
9068	B	182	138	3	3
9068	C	97	71	3	3
9068	D	107	70	3	3
9116	A	133	108	3	3
9116	B	174	134	3	3
9116	C	106	81	3	3
9116	D	126	92	3	3
9164	A	142	98	3	3
9164	B	161	152	3	3
9164	C	100	73	3	3
9164	D	95	81	3	3
9212	A	161	128	3	3
9212	B	189	124	3	3
9212	C	103	83	3	3
9212	D	85	90	3	3
9260	A	147	135	3	3
9260	B	188	132	3	3
9260	C	85	88	3	3
9260	D	118	83	3	3
9308	A	145	121	3	3
9308	B	177	144	3	3
9308	C	98	69	3	3
9308	D	84	79	3	3
9356	A	136	124	3	3
9356	B	178	135	3	3
9356	C	90	67	3	3
9356	D	104	73	3	3
9404	A	106	94	3	3
9404	B	183	137	3	3
9404	C	79	54	3	3
9404	D	117	88	3	3
9452	A	131	117	3	3
9452	B	177	115	3	3
9452	C	80	61	3	3
9452	D	109	80	3	3
9500	A	139	138	3	3
9500	B	163	108	3	3
9500	C	84	98	3	3
9500	D	104	86	3	3
9548	A	154	104	3	3
9548	B	192	173	3	3
9548	C	111	75	3	3
9548	D	113	115	3	3
9596	A	142	124	3	3
9596	B	165	153	3	3
9596	C	101	57	3	3
9596	D	106	89	3	3
9644	A	141	158	3	3
9644	B	197	163	3	3
9644	C	84	82	3	3
9644	D	89	101	3	3
9692	A	150	120	3	3
9692	B	172	141	3	3
9692	C	92	99	3	3
9692	D	121	90	3	3
9740	A	129	99	3	3
9740	B	209	112	3	3
9740	C	113	64	3	3
9740	D	90	75	3	3
9788	A	135	67	3	3
9788	B	199	79	3	3
9788	C	63	97	3	3
9788	D	110	67	3	3
9836	A	112	99	3	3
9836	B	203	152	3	3
9836	C	90	83	3	3
9836	D	104	94	3	3
9884	A	126	129	3	3
9884	B	201	132	3	3
9884	C	82	73	3	3
9884	D	132	93	3	3
9932	A	165	105	3	3
9932	B	192	140	3	3
9932	C	85	60	3	3
9932	D	98	98	3	3
9980	A	144	101	3	3
9980	B	204	134	3	3
9980	C	90	48	3	3
9980	D	92	81	3	3
10028	A	173	120	3	3
10028	B	215	174	3	3
10028	C	112	70	3	3
10028	D	138	93	3	3
10076	A	142	144	3	3
10076	B	226	201	3	3
10076	C	111	80	3	3
10076	D	96	101	3	3
10124	A	159	143	3	3
10124	B	185	192	3	3
10124	C	106	86	3	3
10124	D	115	103	3	3
10172	A	146	123	3	3
10172	B	170	134	3	3
10172	C	79	53	3	3
10172	D	95	87	3	3
10220	A	172	131	3	3
10220	B	216	147	3	3
10220	C	96	78	3	3
10220	D	120	106	3	3
10268	A	167	157	3	3
10268	B	202	195	3	3
10268	C	100	85	3	3
10268	D	105	104	3	3
10316	A	148	129	3	3
10316	B	175	171	3	3
10316	C	95	69	3	3
10316	D	100	86	3	3
10364	A	152	110	3	3
10364	B	219	155	3	3
10364	C	114	65	3	3
10364	D	125	81	3	3
10412	A	154	140	3	3
10412	B	193	146	3	3
10412	C	84	68	3	3
10412	D	92	91	3	3
10460	A	20	18	4	4
10460	B	30	26	4	4
10460	C	18	14	4	4
10460	D	16	16	4	4
10508	A	174	153	3	3
10508	B	246	208	3	3
10508	C	82	81	3	3
10508	D	119	84	3	3
10556	A	168	110	3	3
10556	B	208	175	3	3
10556	C	88	66	3	3
10556	D	96	73	3	3
10604	A	153	122	3	3
10604	B	186	195	3	3
10604	C	94	78	3	3
10604	D	117	101	3	3
10652	A	168	141	3	3
10652	B	162	116	3	3
10652	C	85	80	3	3
10652	D	90	103	3	3
10700	A	180	118	3	3
10700	B	195	186	3	3
10700	C	84	91	3	3
10700	D	115	120	3	3
10748	A	164	161	3	3
10748	B	223	185	3	3
10748	C	85	86	3	3
10748	D	125	100	3	3
10796	A	143	159	3	3
10796	B	182	199	3	3
10796	C	75	87	3	3
10796	D	120	83	3	3
10844	A	166	106	3	3
10844	B	182	126	3	3
10844	C	64	45	3	3
10844	D	97	88	3	3
10892	A	135	135	3	3
10892	B	158	167	3	3
10892	C	89	96	3	3
10892	D	91	89	3	3
10940	A	166	139	3	3
10940	B	194	194	3	3
10940	C	84	77	3	3
10940	D	116	116	3	3
10988	A	151	125	3	3
10988	B	181	146	3	3
10988	C	119	57	3	3
10988	D	131	81	3	3
11036	A	154	155	3	3
11036	B	193	184	3	3
11036	C	112	102	3	3
11036	D	122	124	3	3
11084	A	189	165	3	3
11084	B	215	172	3	3
11084	C	120	104	3	3
11084	D	112	101	3	3
11132	A	187	166	3	3
11132	B	245	205	3	3
11132	C	105	89	3	3
11132	D	112	102	3	3
